WATER FLOW MISSING !	M300
Emergency Stop - OP PANEL !	M301
HYD Pump Overload !	M302
Vacuum Pump Over load !	M303
Blower Motor Overload !	M304
Magazine Rotation Motor OCR !	M305
1 AXIS SERVO DRIVE ALARM !	M306
2 AXIS SERVO DRIVE ALARM !	M307
3 AXIS SERVO DRIVE ALARM !	M308
Transformer Over temp' !	M309
Emergency Stop - EXT !	M310
1 AXIS - Pos' Control Error !	M311
2 AXIS - Pos' Control Error !	M312
3 AXIS - Pos' Control Error !	M313
Electrode not UP Position !	M314
Electrode not UP Position !	M315
DOOR NOT OPEN !	M316
DOOR NOT CLOSE !	M317
Electrode Position Fault !	M318
PLC COUNT MODULE 이상!	M319
Work Finish !	M320
Mould Clamp Fault !	M321
PYROMETER READING ERROR !	M322
Mould Unloading Error-END Mould 	M323
Sintering Dimension - LOW !	M324
Vacuum Pump Oil Change !	M325
HYD PRESS CLOSE LIMIT !	M536
